text,address
"Cleared: Traffic congestion in Bay on US-231 south beyond SR-20, all lanes blocked. Last updated at 04:05:30PM.",US-231 south    Bay  FL
"Cleared: Object on roadway in Okaloosa on I-10 west at MM 51, right lane blocked. Last updated at 04:45:39PM.",  Interstate 10 west Mile Marker 51 Okaloosa  FL
"New: Object on roadway in Okaloosa on I-10 west at MM 51, right lane blocked. Last updated at 04:45:39PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/64042",  Interstate 10 west Mile Marker 51 Okaloosa  FL
"Updated: Traffic congestion in Bay on US-231 south beyond SR-20, all lanes blocked. Last updated at 04:05:30PM. http://fl511.com/EventDetails/District%203-CHP/64035",US-231 south    Bay  FL
"Updated: Traffic congestion in Bay on US-231 south beyond SR-20, all lanes blocked. Last updated at 04:04:42PM. http://fl511.com/EventDetails/District%203-CHP/64035",US-231 south    Bay  FL
"New: Traffic congestion in Bay on US-231 south beyond SR-20, all lanes blocked. Last updated at 03:59:45PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/64035",US-231 south    Bay  FL
"Cleared: Disabled vehicle in Escambia on I-10 east at MM 17 - Escambia Bay Bridge, right lane blocked. Last updated at 03:27:16AM.",  Interstate 10 east Mile Marker 17 Escambia  FL
"New: Disabled vehicle in Escambia on I-10 east at MM 17 - Escambia Bay Bridge, right lane blocked. Last updated...http://fl511.com/EventDetails/District%203-CHP/63987",  Interstate 10 east Mile Marker 17 Escambia  FL
A Silver Alert has been issued for Hersey Warren out of Hobe Sound. Look for a 2007 Silver Lexus 350 Series FL...http://fl511.com/List/Alerts, Hobe Sound     FL
"Cleared: Unconfirmed flooding in Bay on SR-20 west at Econfina Creek Bridge, all lanes blocked. Last updated at 07:12:00AM.",  State Route 20 west  Bay  FL
"Cleared: Unconfirmed flooding in Bay on SR-20 east at Econfina Creek Bridge, all lanes blocked. Last updated at 07:11:50AM.",  State Route 20 east  Bay  FL
"Cleared: Disabled vehicle in Santa Rosa on Pensacola Bay Bridge north at Pensacola Bay Bridge, right lane blocked. Last updated at...",    Santa Rosa  FL
"New: Disabled vehicle in Santa Rosa on Pensacola Bay Bridge north at Pensacola Bay Bridge, right lane blocked....http://fl511.com/EventDetails/District%203-CHP/63918",    Santa Rosa  FL
"Updated: Unconfirmed flooding in Bay on SR-20 west at Econfina Creek Bridge, all lanes blocked. Last updated at...http://fl511.com/EventDetails/District%203-CHP/63725",  State Route 20 west  Bay  FL
"Updated: Unconfirmed flooding in Bay on SR-20 east at Econfina Creek Bridge, all lanes blocked. Last updated at...http://fl511.com/EventDetails/District%203-CHP/63724",  State Route 20 east  Bay  FL
"@MyFDOT has reached US 98 in Carrabelle. Crews are currently working to assess, clear, and complete temporary safety repairs to the roadway. This will allow rescue crews to continue to reach those affected by #HurricaneMichael",    clear  FL
"Updated: Crash in Escambia on I-110 north ramp to Exit 6 (SR-291/Davis Hwy), off-ramp right lanes blocked. Last...http://fl511.com/EventDetails/District%203-CHP/63824",  Interstate 110 north ramp  Escambia  FL
"New: Crash in Escambia on I-110 north ramp to Exit 6 (SR-291/Davis Hwy), off-ramp right lane blocked. Last...http://fl511.com/EventDetails/District%203-CHP/63824",  Interstate 110 north ramp  Escambia  FL
Make it home safely – Use #FL511 to get the latest info on road conditions., road conditions     FL
"Updated: Flooding in Bay on SR-20 west at Econfina Creek Bridge, all lanes blocked. Last updated at 12:57:48AM. http://fl511.com/EventDetails/District%203-CHP/63725",  State Route 20 west  Bay  FL
"Updated: Flooding in Bay on SR-20 east at Econfina Creek Bridge, all lanes blocked. Last updated at 12:57:37AM. http://fl511.com/EventDetails/District%203-CHP/63724",  State Route 20 east  Bay  FL
A Silver Alert has been issued for Lewis Fisher out of St. Petersburg. Look for a 2011 Silver Nissan Cube FL Tag...http://fl511.com/List/Alerts, Street Petersburg     FL
"New: Flooding in Bay on SR-20 west at Econfina Creek Bridge, all lanes blocked. Last updated at 06:09:01PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/63725",  State Route 20 west  Bay  FL
"New: Flooding in Bay on SR-20 east at Econfina Creek Bridge, all lanes blocked. Last updated at 06:07:46PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/63724",  State Route 20 east  Bay  FL
A Silver Alert has been issued for Jack Scotti out of Sarasota. Look for a 2001 Blue Toyota Camry Fl Tag...http://fl511.com/List/Alerts, Jack Scotti out     FL
Make it home safely – Use #FL511 to get the latest info on road conditions., road conditions     FL
"Cleared: Object on roadway in Gadsden on I-10 east at MM 186, right lane blocked. Last updated at 02:38:47PM.",  Interstate 10 east Mile Marker 186 Gadsden  FL
"Cleared: Object on roadway in Gadsden on I-10 west at MM 186, left lane blocked. Last updated at 02:29:38PM.",  Interstate 10 west Mile Marker 186 Gadsden  FL
"Cleared: Object on roadway in Gadsden on I-10 west at MM 168, all lanes blocked. Last updated at 03:09:38PM.",  Interstate 10 west Mile Marker 168 Gadsden  FL
Expect continuous closure of the SR-400/Beville Rd WB to I-95 SB ramp. Motorists can use Williamson Blvd south to...http://fl511.com/List/Alerts, the State     FL
I-10 is closed in both directions from mile 85 to mile 166. Please seek an alternate route. http://fl511.com/List/Alerts, mile 85     FL
"Updated: Object on roadway in Gadsden on I-10 west at MM 168, all lanes blocked. Last updated at 03:09:38PM. http://fl511.com/EventDetails/District%203-CHP/63712",  Interstate 10 west Mile Marker 168 Gadsden  FL
"New: Object on roadway in Gadsden on I-10 west at MM 168, all lanes blocked. Last updated at 03:06:45PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/63712",  Interstate 10 west Mile Marker 168 Gadsden  FL
"New: Object on roadway in Gadsden on I-10 east at MM 186, right lane blocked. Last updated at 02:38:47PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/63710",  Interstate 10 east Mile Marker 186 Gadsden  FL
"New: Object on roadway in Gadsden on I-10 west at MM 186, left lane blocked. Last updated at 02:29:38PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/63708",  Interstate 10 west Mile Marker 186 Gadsden  FL
"Cleared: Crash in Okaloosa on I-10 west at MM 54, left lane blocked. Last updated at 01:01:25PM.",  Interstate 10 west Mile Marker 54 Okaloosa  FL
"New: Crash in Okaloosa on I-10 west at MM 54, left lane blocked. Last updated at 01:01:25PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/63706",  Interstate 10 west Mile Marker 54 Okaloosa  FL
"Cleared: Crash in Walton on I-10 east at MM 78, left lane blocked. Last updated at 10:17:49AM.",  Interstate 10 east Mile Marker 78 Walton  FL
"I-10: Due to possible High Winds, Motorists are advised to use caution on the Blackwater River Bridge near Mile...http://fl511.com/List/Alerts", the Blackwater     FL
"Updated: Crash in Walton on I-10 east at MM 78, left lane blocked. Last updated at 10:17:49AM. http://fl511.com/EventDetails/District%203-CHP/63700",  Interstate 10 east Mile Marker 78 Walton  FL
"I-10: Due to possible High Winds, Motorists are advised to use caution on the Escambia Bay Bridge near Mile...http://fl511.com/List/Alerts", the Escambia     FL
"Updated: Disabled vehicle in Gadsden on I-10 east at MM 182, right lane blocked. Last updated at 06:23:08PM. http://fl511.com/EventDetails/District%203-CHP/63569",  Interstate 10 east Mile Marker 182 Gadsden  FL
"Cleared: Object on roadway in Jackson on I-10 west at MM 155, right lane blocked. Last updated at 05:07:48PM.",  Interstate 10 west Mile Marker 155 Jackson  FL
"New: Object on roadway in Jackson on I-10 west at MM 155, right lane blocked. Last updated at 05:07:48PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/63652",  Interstate 10 west Mile Marker 155 Jackson  FL
"Cleared: Bridge maintenance operations in Escambia on Pensacola Bay Bridge south at Pensacola Bay Bridge, right lane blocked. Last...",    Escambia  FL
"New: Bridge maintenance operations in Escambia on Pensacola Bay Bridge south at Pensacola Bay Bridge, right lane...http://fl511.com/EventDetails/District%203-CHP/63582",    Escambia  FL
"Cleared: Disabled vehicle in Escambia on Pensacola Bay Bridge south at Pensacola Bay Bridge, right lane blocked. Last updated at 08:01:17PM.",    Escambia  FL
"Updated: Disabled vehicle in Escambia on Pensacola Bay Bridge south at Pensacola Bay Bridge, right lane blocked....http://fl511.com/EventDetails/District%203-CHP/63553",    Escambia  FL
"Updated: Crash in Bay on US-231 north at Camp Flowers Rd and traffic backed up until beyond CR-2301, all lanes...http://fl511.com/EventDetails/District%203-CHP/63552",US-231 north    Bay  FL
"New: Crash in Bay on US-231 north at Camp Flowers Rd and traffic backed up until beyond CR-2301, all lanes...http://fl511.com/EventDetails/District%203-CHP/63552",US-231 north    Bay  FL
"New: Disabled vehicle in Escambia on Pensacola Bay Bridge south at Pensacola Bay Bridge, right lane blocked. Last...http://fl511.com/EventDetails/District%203-CHP/63553",    Escambia  FL
A Hurricane Warning is in effect for multiple counties in Northwest Florida. http://fl511.com/List/Alerts,"    effect, Northwest  FL"
"Cleared: Object on roadway in Jackson on I-10 west at MM 141, right lane blocked. Last updated at 02:08:53PM.",  Interstate 10 west Mile Marker 141 Jackson  FL
"New: Object on roadway in Jackson on I-10 west at MM 141, right lane blocked. Last updated at 02:08:53PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/63500",  Interstate 10 west Mile Marker 141 Jackson  FL
"Cleared: Object on roadway in Escambia on I-10 east beyond MM 17 - Escambia Bay Bridge, center lane blocked. Last updated at 01:55:27PM.",  Interstate 10 east Mile Marker 17 Escambia  FL
"New: Object on roadway in Escambia on I-10 east beyond MM 17 - Escambia Bay Bridge, center lane blocked. Last...http://fl511.com/EventDetails/District%203-CHP/63498",  Interstate 10 east Mile Marker 17 Escambia  FL
There is Police Activity on SR-528 westbound at mile post 8. Motorists should expect ramp closures and delays. http://fl511.com/List/Alerts, State Route     FL
"I-10: Due to possible High Winds, Motorists are advised to use caution on the Blackwater River Bridge near Mile...http://fl511.com/List/Alerts", the Blackwater     FL
"I-10: Due to possible High Winds, Motorists are advised to use caution on the Escambia Bay Bridge near Mile...http://fl511.com/List/Alerts", the Escambia     FL
"Updated: Crash involving a tractor-trailer in Jackson on US-231 south beyond SR-2, right lane blocked. Last...http://fl511.com/EventDetails/District%203-CHP/63485",US-231 south    Jackson  FL
"Updated: Crash in Jackson on US-231 south beyond SR-2, right lane blocked. Last updated at 10:53:47AM. http://fl511.com/EventDetails/District%203-CHP/63485",US-231 south    Jackson  FL
Updated: Crash in Jackson on US-231 south beyond SR-2. Last updated at 10:52:53AM. http://fl511.com/EventDetails/District%203-CHP/63485,US-231 south    Jackson  FL
"Updated: Crash in Jackson on US-231 north beyond CR-162 /Jacob Rd, right lane blocked. Last updated at 10:50:31AM. http://fl511.com/EventDetails/District%203-CHP/63485",US-231 north    Jackson  FL
"New: Crash in Jackson on US-231 north beyond CR-162 /Jacob Rd, right lane blocked. Last updated at 10:48:23AM....http://fl511.com/EventDetails/District%203-CHP/63485",US-231 north    Jackson  FL
"Cleared: Object on roadway in Okaloosa on I-10 east at MM 48, right lane blocked. Last updated at 08:34:15AM.",  Interstate 10 east Mile Marker 48 Okaloosa  FL
"New: Object on roadway in Okaloosa on I-10 east at MM 48, right lane blocked. Last updated at 08:34:15AM. #fl511 http://fl511.com/EventDetails/District%203-CHP/63473",  Interstate 10 east Mile Marker 48 Okaloosa  FL
".Due to a crash in Flagler County, I-95 SB at MM 289/Palm Coast Pkwy, all lanes are blocked. Motorists are being...http://fl511.com/List/Alerts",  Interstate 95 southbound Mile Marker 289 Flagler  FL
"Cleared: Planned construction in Jackson on I-10 west at MM 160, left lane blocked. Last updated at 04:01:08AM.",  Interstate 10 west Mile Marker 160 Jackson  FL
"Cleared: Planned construction in Gadsden on I-10 west at MM 175, left lane blocked. Last updated at 04:00:58AM.",  Interstate 10 west Mile Marker 175 Gadsden  FL
"Updated: Planned construction in Gadsden on I-10 west at MM 175, left lane blocked. Last updated at 04:00:58AM. http://fl511.com/EventDetails/District%203-CHP/63428",  Interstate 10 west Mile Marker 175 Gadsden  FL
"Updated: Planned construction in Jackson on I-10 west at MM 160, left lane blocked. Last updated at 04:01:08AM. http://fl511.com/EventDetails/District%203-CHP/63430",  Interstate 10 west Mile Marker 160 Jackson  FL
"Updated: Planned construction in Jackson on I-10 west at MM 160, left lane blocked. Last updated at 03:23:48AM. http://fl511.com/EventDetails/District%203-CHP/63430",  Interstate 10 west Mile Marker 160 Jackson  FL
"Cleared: Disabled vehicle in Santa Rosa on I-10 west at Exit 28 /Ward Basin Rd, left lane blocked. Last updated at 01:47:00AM.","  Interstate 10 west Rd, left lane Santa Rosa  FL"
"Updated: Planned construction in Gadsden on I-10 west at MM 175, left lane blocked. Last updated at 02:00:39AM. http://fl511.com/EventDetails/District%203-CHP/63428",  Interstate 10 west Mile Marker 175 Gadsden  FL
"Updated: Planned construction in Jackson on I-10 west at MM 160, left lane blocked. Last updated at 02:00:48AM. http://fl511.com/EventDetails/District%203-CHP/63430",  Interstate 10 west Mile Marker 160 Jackson  FL
A Silver Alert has been issued for David Monington out of Jacksonville. Look for a 2012 Silver Toyota Avalon Fl...http://fl511.com/List/Alerts, Jacksonville.     FL
"Cleared: Disabled vehicle in Santa Rosa on I-10 west at Exit 28 /Ward Basin Rd, left lane blocked. Last updated at 01:53:40AM.","  Interstate 10 west Rd, left lane Santa Rosa  FL"
"New: Disabled vehicle in Santa Rosa on I-10 west at Exit 28 /Ward Basin Rd, left lane blocked. Last updated at...http://fl511.com/EventDetails/District%203-CHP/63443","  Interstate 10 west Rd, left lane Santa Rosa  FL"
"New: Disabled vehicle in Santa Rosa on I-10 west at Exit 28 /Ward Basin Rd, left lane blocked. Last updated at...http://fl511.com/EventDetails/District%203-CHP/63441","  Interstate 10 west Rd, left lane Santa Rosa  FL"
A Silver Alert has been issued for Donald Coleman out of West Melbourne. Look for a 2000 Green Saturn Station...http://fl511.com/List/Alerts, West Melbourne     FL
"New: Planned construction in Gadsden on I-10 east at MM 175, right lane blocked. Last updated at 12:23:58AM. #fl511 http://fl511.com/EventDetails/District%203-CHP/63439",  Interstate 10 east Mile Marker 175 Gadsden  FL
"Updated: Planned construction in Gadsden on I-10 west at MM 175, left lane blocked. Last updated at 12:00:37AM. http://fl511.com/EventDetails/District%203-CHP/63428",  Interstate 10 west Mile Marker 175 Gadsden  FL
"Updated: Planned construction in Jackson on I-10 west at MM 160, left lane blocked. Last updated at 12:00:58AM. http://fl511.com/EventDetails/District%203-CHP/63430",  Interstate 10 west Mile Marker 160 Jackson  FL
I-10: A major incident has closed all Westbound lanes in Santa Rosa County. Motorists are advised to expect...http://fl511.com/List/Alerts, Santa Rosa     FL
"Updated: Crash in Santa Rosa on I-10 west at MM 27 /Blackwater Bridge, all lanes blocked. Last updated at...http://fl511.com/EventDetails/District%203-CHP/63429",  Interstate 10 west Mile Marker 27 Santa Rosa  FL
A Silver Alert has been issued for John Schmidt out of Port Orange. Look for a 2016 Red Ford Fusion Fl Tag SAU81....http://fl511.com/List/Alerts, John Schmidt out     FL
"Updated: Planned construction in Jackson on I-10 west at MM 160, left lane blocked. Last updated at 11:01:30PM. http://fl511.com/EventDetails/District%203-CHP/63430",  Interstate 10 west Mile Marker 160 Jackson  FL
"Updated: Planned construction in Gadsden on I-10 west at MM 175, left lane blocked. Last updated at 11:01:06PM. http://fl511.com/EventDetails/District%203-CHP/63428",  Interstate 10 west Mile Marker 175 Gadsden  FL
"Updated: Planned construction in Gadsden on I-10 west at MM 175, left lane blocked. Last updated at 10:06:48PM. http://fl511.com/EventDetails/District%203-CHP/63428",  Interstate 10 west Mile Marker 175 Gadsden  FL
"New: Planned construction in Jackson on I-10 west at MM 160, left lane blocked. Last updated at 09:49:18PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/63430",  Interstate 10 west Mile Marker 160 Jackson  FL
"Updated: Crash in Santa Rosa on I-10 west at MM 27 /Blackwater Bridge, right lane blocked. Last updated at...http://fl511.com/EventDetails/District%203-CHP/63429",  Interstate 10 west Mile Marker 27 Santa Rosa  FL
"Updated: Planned construction in Gadsden on I-10 west at MM 175, left lane blocked. Last updated at 09:39:41PM. http://fl511.com/EventDetails/District%203-CHP/63428",  Interstate 10 west Mile Marker 175 Gadsden  FL
"New: Planned construction in Gadsden on I-10 east at MM 175, left lane blocked. Last updated at 08:18:47PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/63428",  Interstate 10 east Mile Marker 175 Gadsden  FL
"Cleared: Crash in Holmes on SR-79 south at I-10, right lane blocked. Last updated at 12:13:43PM.",  State Route 79 south  Holmes  FL
"Updated: Crash in Holmes on SR-79 south at I-10, right lane blocked. Last updated at 12:13:43PM. http://fl511.com/EventDetails/District%203-CHP/63400",  State Route 79 south  Holmes  FL
"An AMBER ALERT has been issued on Na'Tori Mazion out of Sanford. Look for a 2017 red Nissan Altima, FL Tag 4ALWY...http://fl511.com/List/Alerts", Na'Tori Mazion     FL
"Cleared: Disabled vehicle in Escambia on Pensacola Bay Bridge south at Pensacola Bay Bridge, right lane blocked. Last updated at 10:56:51AM.",    Escambia  FL
"New: Disabled vehicle in Escambia on Pensacola Bay Bridge south at Pensacola Bay Bridge, right lane blocked. Last...http://fl511.com/EventDetails/District%203-CHP/63394",    Escambia  FL
Convoy moving East through Leon County on I-10. Drivers should use caution. http://fl511.com/List/Alerts,  Interstate 10.  County  FL
"Cleared: Crash in Bay on US-231 south at CR-388, right lane blocked. Last updated at 02:40:13AM.",US-231 south    Bay  FL
"New: Crash in Bay on US-231 south at CR-388, right lane blocked. Last updated at 02:40:13AM. #fl511 http://fl511.com/EventDetails/District%203-CHP/63371",US-231 south    Bay  FL
"Cleared: Object on roadway in Gadsden on I-10 west ramp from Exit 166 /CR-270A, on-ramp closed. Last updated at 12:20:29AM.",  Interstate 10 west Exit 166 Gadsden  FL
"New: Object on roadway in Gadsden on I-10 west ramp from Exit 166 /CR-270A, on-ramp closed. Last updated at...http://fl511.com/EventDetails/District%203-CHP/63363",  Interstate 10 west Exit 166 Gadsden  FL
"Updated: Disabled vehicle in Gadsden on I-10 west at MM 163 and traffic backed up until MM 165, all lanes...http://fl511.com/EventDetails/District%203-CHP/63337","  Interstate 10 west Mile Marker 163 Gadsden, 165  FL"
